taxon,E2500init,E2500UC,E2500YR1,E3100init,E3100UC,E3100YR1,DDinit,DDUC,DDYR1,DDYR12,DDYR1re2,DGUC,DGinit,DGYR1,DGYR12,DGYR1re2,DuganYR2,EICPYR1C,EICPYR1F,EICPYR1L,EICPYR2C,EICPYR2F,EICPYR2L,LICinit,LICUC,LICYR1,LICYR12,LICYR1re2,LVYR1,LVYR12,LVYR1re2,LV1init,LV1UC,LV2init,LV2UC,LV3init,LV3UC,M1Ginit,M1GUC,M1GYR1,M2Dinit,M2DUC,M2DYR1,M3Dinit,M3DUC,M3DYR1,NDinit,NDUC,NDYR1,NDYR12,NDYR1re2
Allocoleopsis,1,0,0,2,0,0,23,2,114,16,67,2,1108,943,1159,1224,156,0,0,0,6,13,2,25,0,167,230,180,53,147,50,24,0,20,0,42,2,2667,7,816,1032,42,1303,309,20,269,169,18,354,256,1056
Arizonema,207,0,4,731,6,20,198,0,216,11,88,0,565,387,420,391,41,0,0,0,36,14,9,90,0,59,100,39,215,218,154,867,0,296,19,413,0,537,0,406,548,33,539,252,3,424,176,27,105,22,263
Calothrix,361,11,7,339,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3,51,19,104
Chroococcidiopsis,982,19,49,40,2,51,1224,24,66,10,18,21,41,11,33,62,26,217,167,97,513,258,2305,1733,6,51,28,9,27,44,38,117,17,94,8,59,6,0,0,3,3167,554,1499,8,0,32,725,17,340,25,194
Coleofasiculus,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6
Crassifilum,62,0,25,183,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crustifilum,38,0,16,859,20,28,408,2,382,54,206,11,1267,1198,1327,796,108,0,0,0,34,12,5,369,0,254,582,307,211,287,192,376,2,323,14,607,3,14,2,36,2044,453,2482,58,0,120,409,27,322,29,719
Konicacronema,4,0,0,198,2,4,7,0,13,0,11,0,106,168,194,144,31,0,0,0,168,49,40,0,0,27,48,73,37,72,30,48,0,58,7,112,0,17,0,181,661,73,714,86,6,110,0,0,11,0,10
Leptolyngbya,206,0,10,533,7,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,9,1,0,0,0,0,0,0,0,0,0,0,0,11,39,0,11,17,0,3,0,0,0,0,0
Lyngbya,0,0,0,0,0,0,3,0,0,0,9,0,26,176,177,49,21,0,2,0,0,4,0,7,0,96,96,106,0,2,2,2,0,0,0,7,0,74,0,101,77,2,104,1229,38,280,102,24,250,127,467
Microcoleus,213,14,589,12,8,422,356,13,361,139,149,213,3397,1066,1791,1318,1953,2,2,106,336,159,143,131,4,710,617,286,722,815,1182,3113,108,4135,71,2231,45,4872,7,4933,954,84,2718,1212,159,2464,971,64,186,15,660
Myxacorys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,27,5,19,2,11,4,24,0,0,0,0,0,0,0,65,3,0,2,0,0,0,2
Nostoc,436,3,40,277,3,223,213,5,47,7,13,2,73,25,31,2,44,366,104,43,25,0,60,5,0,47,79,5,127,61,167,146,3,98,0,106,2,0,2,2,17,14,77,1256,17,111,20,0,33,55,363
Parifilum,2006,38,57,2880,36,134,1324,9,237,46,175,17,1095,621,711,461,191,59,41,16,20,49,37,1740,3,184,257,64,421,697,533,4757,29,2184,32,3653,13,3632,6,459,1608,211,757,1299,52,136,939,26,882,56,383
Planktothrix,0,2,0,0,0,17,0,2,18,3,16,0,4,6,7,6,5,0,0,28,13,4,38,41,0,18,28,6,3,5,6,0,5,0,0,4,0,15,0,30,9,4,23,7,0,5,0,0,0,0,0
Pleurocapsa,0,3,0,81,4,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,99,0,14,0,0,5,0,0
Porphyrosiphon,0,0,0,42,0,2,0,0,0,0,0,0,43,2,34,33,2,0,0,12,0,0,0,0,0,0,0,0,0,0,2,5,0,18,0,6,0,0,0,2,64,1,41,11,0,7,0,0,0,0,0
