OTUID,taxon,Genus
43006e6191bcaee6079e053f4415ca09,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Allocoleopsis
61cc86ecf7546e77076f1c45f299c7d1,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Allocoleopsis
b76ada4828cda827213876d4015735f4,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Allocoleopsis
01c0f530f02e2a51f39a365728c0b0aa,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Arizonema
8cca3e1a19de90a83b0f4bd369f655d7,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Arizonema
e774a6d4aa9eb974484edd1d392a37d8,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Arizonema
beb1c214d961184436a01b910104d52f,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Arizonema
26c0cba124c4ecb85f93c9662e45c2de,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Arizonema
6858008645be0f806a871df9618aa329,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae,Calothrix
55b111a8fd2ddd6a566bff5f59844439,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae,Calothrix
6cc90abcd97591395b1df6e6e0396177,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__,Chroococcidiopsis
8daabb20002ba5550744d6abb425b44d,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__,Chroococcidiopsis
ac9a0c8672f2988924a2d7ff1e72c57c,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__,Chroococcidiopsis
4ca3e66a7728acee1cc8b2fa52bfef23,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__,Chroococcidiopsis
dc84fa60af95a820be90b5eeae58a4f0,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__,Chroococcidiopsis
83e25cde4030613eea55cffcc26d4e23,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Chroococcidiopsis
731cc4cf59ea7a6031d03d5a55bac723,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__,Chroococcidiopsis
1c615774145ab1ef20c91af7925f4912,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__,Chroococcidiopsis
2e70ebae416458ef7b9b9f1f872f0654,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__,Chroococcidiopsis
84366bef334e7207b4f2ed419a77951c,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Chroococcidiopsis
c6410779ba255c4aca28873c73be0f1b,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__,Chroococcidiopsis
7d673db3d48efe5acbf92ef9b43a7664,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__,Chroococcidiopsis
9bfcae3bc7698079018139277ec7f434,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__,Chroococcidiopsis
c3731c0a5f7f1e15eaa8d60d3759a7b9,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__,Chroococcidiopsis
f7973eb24a26cb2038dcd2de544894c4,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Chroococcidiopsis
13c5b2d152a3975acfaa295c56193d21,k__Bacteria; p__Cyanobacteria,Chroococcidiopsis
322865e2de5662241d929047b0114e88,k__Bacteria; p__Cyanobacteria,Chroococcidiopsis
9aac8187a2b245baf78337cfaef69d27,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__,Chroococcidiopsis
b74294c086b5478dd6027f9eab697dee,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Chroococcidiopsis
19a21ba7862592ca5eb0f6740f892227,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Chroococcidiopsis
72986640754d5e033b5b392221b84738,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__Chroococcidiopsis; s__,Chroococcidiopsis
7adf843b1d2c7c516d9bf405fe47a991,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__Chroococcidiopsis; s__,Chroococcidiopsis
0a0fb6cf917ccbc118f0433c4ece4eb5,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__,Chroococcidiopsis
3ec9f1ff1e147e1bc273f80100f79e15,k__Bacteria; p__Cyanobacteria,Chroococcidiopsis
f0b8e54b94eb01ea180fb928e6e9e433,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Chroococcidiopsis
2c6215877bd7c69c6fa6093ea3dbff13,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__,Chroococcidiopsis
1beaea7e9a6b14ba8d63d1e6759f2e1b,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Coleofasiculus
0e4e4d881c4707022e4abcaf51859c6a,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Crassifilum
