sampleid,Type,Location,Succession,Date
#q2:types,categorical,categorical,categorical,categorical
DDinit,initial,DD,Second,December
DGinit,initial,DG,First,December
E2500init,initial,E25,Fourth,December
E3100init,initial,E31,Third,December
LICinit,initial,Lic,Third,December
LV1init,initial,LV,First,December
LV2init,initial,LV,First,December
LV3init,initial,LV,First,December
M1Ginit,initial,Mesa,First,December
M2Dinit,initial,Mesa,Second,December
M3Dinit,initial,Mesa,Second,December
NDinit,initial,ND,Second,December
DDYR1re2,reinoculated,DD,Second,June
DGYR1re2,reinoculated,DG,First,June
LICYR1re2,reinoculated,Lic,Third,June
LVYR1re2,reinoculated,LV,First,June
NDYR1re2,reinoculated,ND,Second,June
DDUC,UC,DD,Second,January
DGUC,UC,DG,First,January
E2500UC,UC,E25,Fourth,January
E3100UC,UC,E31,Third,January
LICUC,UC,Lic,Third,January
LV1UC,UC,LV,First,January
LV2UC,UC,LV,First,January
LV3UC,UC,LV,First,January
M1GUC,UC,Mesa,First,January
M2DUC,UC,Mesa,Second,January
M3DUC,UC,Mesa,Second,January
NDUC,UC,ND,Second,January
DDYR1,YR1,DD,Second,May
DDYR12,YR1,DD,Second,June
DGYR1,YR1,DG,First,May
DGYR12,YR1,DG,First,June
E2500YR1,YR1,E25,Fourth,May
E3100YR1,YR1,E31,Third,May
EICPYR1C,YR1,EICP,,
EICPYR1F,YR1,EICP,,
EICPYR1L,YR1,EICP,,
LICYR1,YR1,Lic,Third,May
LICYR12,YR1,Lic,Third,June
LVYR1,YR1,LV,First,May
LVYR12,YR1,LV,First,June
M1GYR1,YR1,Mesa,First,May
M2DYR1,YR1,Mesa,Second,May
M3DYR1,YR1,Mesa,Second,May
NDYR1,YR1,ND,Second,May
NDYR12,YR1,ND,Second,June
DuganYR2,YR2,DG,First,
EICPYR2C,YR2,EICP,,
EICPYR2F,YR2,EICP,,
EICPYR2L,YR2,EICP,,
