 ,E2500init,E2500UC,E2500YR1,E3100init,E3100UC,E3100YR1,DDinit,DDUC,DDYR1,DDYR12,DDYR1re2,DGinit,DGUC,DGYR1,DGYR12,DGYR1re2,DuganYR2,EICPYR1C,EICPYR1F,EICPYR1L,EICPYR2C,EICPYR2F,EICPYR2L,LICinit,LICUC,LICYR1,LICYR12,LICYR1re2,LV1init,LV1UC,LV2init,LV2UC,LV3init,LV3UC,LVYR1,LVYR12,LVYR1re2,M1Ginit,M1GUC,M1GYR1,M2Dinit,M2DUC,M2DYR1,M3Dinit,M3DUC,M3DYR1,NDinit,NDUC,NDYR1,NDYR12,NDYR1re2
0009eb0753deb0b8cabe459fabd4945d,0,0,0,0,7,0,0,5,0,0,5,0,0,0,2,0,22,0,0,0,0,0,0,0,52,0,7,12,0,3,0,6,0,9,4,8,3,0,0,0,0,0,0,0,0,0,18,48,12,27,72
0017be4e673085444e916a32471519ac,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,0,3,0,0,0,3,0,4,0,0,0,0,0
0021a21638ff52263188e9e144f553c3,0,0,0,0,0,0,3,22,8,10,4,0,3,0,5,0,7,0,0,0,0,0,0,5,16,6,8,18,0,5,0,10,0,5,0,12,8,0,0,0,0,0,0,0,0,0,5,65,0,31,29
00236b0eb2aec312db8a8dd8436da460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
002dc955a83b56de584c4045df8e8a7d,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2,0,0,0,0,0,0,0,0,0,0,0
0031ec68d542ef20bf6d6c98cc2ff5ac,7,0,4,0,1,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0033a9423f70dc075031c10db041cfb5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,24,0,0,2,0,4,0,0
0036515c5420ea907e96839e65972c55,7,0,4,17,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
004c359af60b93c87c17d376b661754c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,2,0,0,0,0,0,0,0,0
004ffab1cd69ff9d4b4c0ef70a1f6890,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,24,0,0,0,0
00533dbe94db3d0f820df1bb28673f2f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,113,38,0,0,0,23,59,65,0,0,0,0,0
